id,locality_name,Postal_code,Price,Type_of_property,Number_of_rooms,Living_area,Type_of_sale,Equipped_kitchen,Furnished,Open_fire,Terrace,Garden,Number_of_facades,Swimming_Pool,State_of_building
20214776,Evergem,9940,230000.0,HOUSE,12.0,178.0,FOR_SALE,False,False,False,,,,True,TO_RENOVATE
20212257,Buissonville,5580,325000.0,HOUSE,7.0,230.0,FOR_SALE,False,False,True,,,,True,GOOD
20215566,Buggenhout,9255,339000.0,HOUSE,,194.0,FOR_SALE,False,False,False,,,3.0,True,GOOD
20214495,Brasschaat,2930,349000.0,HOUSE,14.0,168.0,FOR_SALE,False,False,False,,,,True,GOOD
20215349,Jette,1090,419000.0,HOUSE,,150.0,FOR_SALE,False,False,False,20.0,80.0,2.0,False,TO_BE_DONE_UP
20215123,Beauraing,5570,465000.0,VILLA,5.0,130.0,FOR_SALE,False,False,False,40.0,1000.0,4.0,True,GOOD
20215292,MECHELEN,2800,545000.0,HOUSE,,178.0,FOR_SALE,False,False,False,,,,True,
20216204,Keerbergen,3140,589000.0,HOUSE,,233.0,FOR_SALE,False,False,False,,,4.0,True,GOOD
20214362,Kortrijk,8500,599000.0,HOUSE,18.0,362.0,FOR_SALE,True,False,False,,,,True,JUST_RENOVATED
20217290,Gent,9030,1050000.0,HOUSE,1.0,237.0,FOR_SALE,False,False,False,,,4.0,True,AS_NEW
20214329,Knokke-Zoute,8300,2795000.0,HOUSE,15.0,298.0,FOR_SALE,True,False,False,,,,True,TO_RENOVATE
20143406,Wezembeek-Oppem,1970,747000.0,HOUSE,,195.0,FOR_SALE,True,False,False,40.0,357.0,4.0,False,TO_RENOVATE
20229252,PESCHE,5660,220000.0,HOUSE,,212.0,FOR_SALE,False,False,False,20.0,,4.0,True,
20228630,WANZE,4520,289000.0,HOUSE,,136.0,FOR_SALE,True,False,False,15.0,300.0,3.0,True,
20227256,Kortrijk,8500,340000.0,TOWN_HOUSE,,265.0,FOR_SALE,False,False,False,,,3.0,False,
20205425,GERAARDSBERGEN,9500,149900.0,HOUSE,,85.0,FOR_SALE,True,False,False,6.0,,2.0,True,GOOD
20183357,Vielsalm,6690,219000.0,HOUSE,,239.0,FOR_SALE,False,False,False,100.0,2002.0,4.0,False,GOOD
20203552,Hoegaarden,3320,235000.0,HOUSE,1.0,160.0,FOR_SALE,False,False,False,,587.0,2.0,True,TO_RENOVATE
20204673,Koolkerke,8000,239000.0,HOUSE,1.0,142.0,FOR_SALE,False,False,False,70.0,113.0,2.0,True,GOOD
20184359,Châtelet,6200,280000.0,VILLA,,195.0,FOR_SALE,False,False,False,,800.0,4.0,True,TO_RENOVATE
20205418,WAREGEM,8791,295000.0,HOUSE,,320.0,FOR_SALE,True,False,False,80.0,,2.0,True,GOOD
